id,defects
101763,0.2512985
101764,0.18645787
101765,0.66357046
101766,0.48690158
101767,0.13895582
101768,0.54020214
101769,0.13498029
101770,0.59247696
101771,0.39944065
101772,0.068429425
101773,0.5255133
101774,0.75601417
101775,0.21397379
101776,0.5803959
101777,0.20899801
101778,0.3594228
101779,0.75766134
101780,0.22276405
101781,0.4960765
101782,0.12565468
101783,0.05204171
101784,0.060921606
101785,0.0531954
101786,0.2696433
101787,0.055039316
101788,0.46808264
101789,0.10802284
101790,0.13944659
101791,0.050844047
101792,0.10634893
101793,0.15861611
101794,0.21222326
101795,0.06699674
101796,0.09414905
101797,0.055662148
101798,0.27697092
101799,0.6213155
101800,0.14213213
101801,0.10963554
101802,0.1262472
101803,0.45474884
101804,0.09513151
101805,0.0531954
101806,0.30055523
101807,0.6198255
101808,0.1052573
101809,0.055509154
101810,0.13135438
101811,0.06973136
101812,0.10428773
101813,0.14691879
101814,0.07373217
101815,0.29632849
101816,0.060249485
101817,0.27068105
101818,0.11068588
101819,0.22625132
101820,0.17447995
101821,0.05338958
101822,0.3384635
101823,0.13197562
101824,0.2638715
101825,0.0957044
101826,0.15593764
101827,0.055509154
101828,0.08536332
101829,0.109034605
101830,0.07351391
101831,0.22683817
101832,0.40081388
101833,0.6512551
101834,0.09747334
101835,0.16251639
101836,0.40161237
101837,0.13915057
101838,0.35629275
101839,0.60476875
101840,0.076306745
101841,0.7396029
101842,0.13111454
101843,0.12653017
101844,0.061139546
101845,0.644603
101846,0.10253522
101847,0.123351954
101848,0.21102227
101849,0.15034635
101850,0.10931434
101851,0.049496494
101852,0.111160055
101853,0.6790107
101854,0.5734648
101855,0.19661063
101856,0.7043529
101857,0.09414905
101858,0.050844047
101859,0.060900114
101860,0.56706166
101861,0.58382624
101862,0.110496975
101863,0.22619276
101864,0.1512465
101865,0.06243409
101866,0.06437259
101867,0.46017912
101868,0.06369121
101869,0.18975422
101870,0.10149919
101871,0.58483386
101872,0.1033233
101873,0.064866945
101874,0.20808205
101875,0.31080487
101876,0.5898865
101877,0.061866008
101878,0.054317012
101879,0.057623822
101880,0.089555286
101881,0.15739532
101882,0.14353222
101883,0.68754834
101884,0.29700983
101885,0.07209636
101886,0.22202323
101887,0.0957044
